generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1782507345-eHaZ2NPP9Hjt2oDfZ3qH,2026-06-26 20:55:44.906,0.15009,,,,0,191613,1418,52,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,26019,4661,,Inference Model
gen-1782507336-7IRyUQX7dJ6J94dFPndr,2026-06-26 20:55:36.367,0.150198,,,,0,198339,321,249,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,7637,6314,,Inference Model
gen-1782507326-FMcldOdn0Y3fLV1iJpdc,2026-06-26 20:55:26.700,0.147652,,,,0,188590,1380,29,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,8518,2473,,Inference Model
gen-1782507317-3rSFPgv4TCmZCZlVCgL4,2026-06-26 20:55:17.242,0.148284,,,,0,195582,355,293,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,8780,8358,,Inference Model
gen-1782507310-PYAH5VK5dDM7S1yBYpo3,2026-06-26 20:55:10.539,0.019908,,-0.12528,,0,185875,1285,28,185600,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,5750,1159,,Inference Model
gen-1782507289-sF46KP155cdAqeoyMhL4,2026-06-26 20:54:49.916,0.145512,,,,0,185851,1361,50,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,19887,3805,,Inference Model
gen-1782507276-AJLp6qCvD8HDigI2RSNk,2026-06-26 20:54:36.835,0.146108,,,,0,192825,331,280,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,12372,9147,,Inference Model
gen-1782507267-ehSMIalqmFAYLFqbg3T1,2026-06-26 20:54:27.105,0.143107,,,,0,183112,1283,18,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,8294,4108,,Inference Model
gen-1782507259-ItA1yHSaM3MVl0FjWP8B,2026-06-26 20:54:19.081,0.143853,,,,0,189915,315,254,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,7120,7006,,Inference Model
gen-1782507249-KXOPOgNedrUkpYXHOxcO,2026-06-26 20:54:09.909,0.140908,,,,0,180222,1276,24,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,8183,3606,,Inference Model
gen-1782507243-CvmJcfgexU62kLI47XA6,2026-06-26 20:54:03.214,0.141138,,,,0,186726,243,181,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,5923,5550,,Inference Model
gen-1782507228-XnEvKpK53McwDsTpVnvq,2026-06-26 20:53:48.619,0.138755,,,,0,177057,1325,25,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,13677,3810,,Inference Model
gen-1782507217-l5Qj88TCBnZoCMffxNqn,2026-06-26 20:53:37.291,0.139913,,,,0,183611,490,411,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,10386,9233,,Inference Model
gen-1782507206-3WZbGAazuioqt3ARzMtp,2026-06-26 20:53:26.540,0.136332,,,,0,173964,1302,27,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,9312,4977,,Inference Model
gen-1782507201-OVQsFQQEzUmuneKDuufm,2026-06-26 20:53:21.763,0.002967,,,,0,2667,215,140,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,2664,2401,,Inference Model
gen-1782507198-73B13TQ8kralZ5XIvZeT,2026-06-26 20:53:18.024,0.002532,,,,0,2705,112,42,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,3288,1838,,Inference Model
gen-1782507195-dCGsIFRYIK3Zmr0aKG3p,2026-06-26 20:53:15.007,0.002345,,,,0,2329,133,55,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,2843,1759,,Inference Model
gen-1782507190-G4jQmGjHbXg1rNiU56ka,2026-06-26 20:53:10.317,0.003177,,,,0,3703,89,36,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,4514,3762,,Inference Model
gen-1782507186-noERli4g0W08YlYgGZeg,2026-06-26 20:53:06.790,0.003153,,,,0,2945,210,55,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,3282,1739,,Inference Model
gen-1782507182-aPpmbZfkbouWE4LTfEGb,2026-06-26 20:53:02.404,0.003512,,,,0,3411,212,65,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,4114,1366,,Inference Model
gen-1782507179-qkKmWKSy5Bcz6xLTS7JP,2026-06-26 20:52:59.389,0.003007,,,,0,2864,191,48,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,2814,1656,,Inference Model
gen-1782507174-mUlWv8vc2G6nUPY2LhWV,2026-06-26 20:52:54.282,0.003323,,,,0,2853,263,120,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,4827,2371,,Inference Model
gen-1782507172-sgRDOa0ph88CG81a1lQY,2026-06-26 20:52:52.038,0.002442,,,,0,2638,103,25,0,openai/gpt-5.4-mini-20260317,OpenAI,standard,false,true,,completed,stop,2096,1945,,Inference Model
